TACTIC ECHO - SimC Window / Inject 审核清单
工具版本: 1.0.0
生成时间(UTC): 2026-07-01T15:03:59+00:00
SimC 来源: G:\CODES\tactic-echo\tools\simc_window_inject\_cache\simc-midnight
说明: Window=assisted_combat 官方辅助战斗序列候选；Inject=default APL cooldown/burst 列表候选。
说明: 本文件仅用于人工审核，未映射 SpellID 前不得导入 AddOn 运行时资料库。

序号 | 职业 | 专精 | TE专精键 | 窗口技能候选 | 注入技能候选 | 条件配对提示 | 审核备注
1 | 死亡骑士 | 鲜血 | DEATHKNIGHT_1 | death_strike, dancing_rune_weapon, death_and_decay, reapers_mark, marrowrend, heart_strike, blood_boil, consumption, deaths_caress | (无) | (无) | 需审核
2 | 死亡骑士 | 冰霜 | DEATHKNIGHT_2 | frostscythe, obliterate, frost_strike, howling_blast, soul_reaper, glacial_advance | remorseless_winter[spell], reapers_mark[spell], pillar_of_frost[spell], breath_of_sindragosa[spell], frostwyrms_fury[spell], raise_dead[spell], empower_rune_weapon[spell] | reapers_mark -> window:- / inject:breath_of_sindragosa,pillar_of_frost; pillar_of_frost -> window:- / inject:breath_of_sindragosa,reapers_mark; breath_of_sindragosa -> window:- / inject:pillar_of_frost; frostwyrms_fury -> window:- / inject:breath_of_sindragosa,pillar_of_frost | 需审核
3 | 死亡骑士 | 邪恶 | DEATHKNIGHT_3 | raise_dead, death_coil, epidemic, scourge_strike, festering_strike | potion[potion], outbreak[spell], army_of_the_dead[spell], soul_reaper[spell], putrefy[spell], dark_transformation[spell] | outbreak -> window:- / inject:putrefy; soul_reaper -> window:- / inject:dark_transformation; putrefy -> window:- / inject:dark_transformation,soul_reaper; dark_transformation -> window:- / inject:army_of_the_dead | 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。
4 | Demonhunter | Devourer | 未映射 | metamorphosis, void_ray, reap, the_hunt, voidblade, immolation_aura, consume | (无) | (无) | 需审核
5 | 恶魔猎手 | 浩劫 | DEMONHUNTER_1 | blade_dance, chaos_strike, throw_glaive, immolation_aura, essence_break, eye_beam, vengeful_retreat, felblade, fel_rush | metamorphosis[spell], potion[potion], item:algethar_puzzle_box[named_item], the_hunt[spell], trinket1[trinket1], trinket2[trinket2] | metamorphosis -> window:blade_dance,eye_beam / inject:-; potion -> window:eye_beam / inject:-; item:algethar_puzzle_box -> window:essence_break,eye_beam / inject:metamorphosis,the_hunt; the_hunt -> window:eye_beam / inject:metamorphosis; trinket1 -> window:eye_beam / inject:-; trinket2 -> window:eye_beam / inject:- | 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。
6 | 恶魔猎手 | 复仇 | DEMONHUNTER_2 | metamorphosis, throw_glaive, soul_cleave | spirit_bomb[spell], soul_carver[spell], sigil_of_spite[spell], fel_devastation[spell], immolation_aura[spell], sigil_of_flame[spell], felblade[spell], fracture[spell] | (无) | 需审核
7 | 德鲁伊 | 平衡 | DRUID_1 | sunfire, force_of_nature, moonfire, celestial_alignment, starfire, wrath, fury_of_elune, solar_eclipse, starfall, starsurge, convoke_the_spirits, wild_mushroom, new_moon, half_moon, full_moon | (无) | (无) | 需审核
8 | 德鲁伊 | 野性 | DRUID_2 | tigers_fury, rake, chomp, primal_wrath, rip, ferocious_bite, lunar_inspiration, swipe, shred | trinket1[trinket1], trinket2[trinket2], berserking[racial], potion[potion], incarnation[spell], berserk[spell], feral_frenzy[spell], frantic_frenzy[spell], convoke_the_spirits[spell] | trinket1 -> window:tigers_fury / inject:-; trinket2 -> window:tigers_fury / inject:-; potion -> window:tigers_fury / inject:-; incarnation -> window:tigers_fury / inject:-; berserk -> window:tigers_fury / inject:-; frantic_frenzy -> window:tigers_fury / inject:-; convoke_the_spirits -> window:tigers_fury / inject:- | 检测到通用 use_items 容器；具体饰品须在角色配置阶段确认。
9 | 德鲁伊 | 守护 | DRUID_3 | thrash, moonfire, mangle, maul, swipe | potion[potion], blood_fury[racial], berserking[racial], fireblood[racial], ancestral_call[racial], bristling_fur[spell], barkskin[spell], lunar_beam[spell], heart_of_the_wild[spell], convoke_the_spirits[spell], sundering_roar[spell], berserk[spell], wild_guardian[spell] | potion -> window:- / inject:lunar_beam; bristling_fur -> window:thrash,mangle / inject:-; lunar_beam -> window:- / inject:berserk; convoke_the_spirits -> window:- / inject:lunar_beam; sundering_roar -> window:thrash / inject:-; berserk -> window:- / inject:heart_of_the_wild; wild_guardian -> window:- / inject:lunar_beam | 检测到通用 use_items 容器；具体饰品须在角色配置阶段确认。
10 | 德鲁伊 | 恢复 | DRUID_4 | rip, ferocious_bite, thrash, swipe, rake, shred, sunfire, moonfire, starsurge, starfire, wrath | (无) | (无) | 需审核
11 | 唤魔师 | 增辉 | EVOKER_3 | prescience, ebon_might, deep_breath, tip_the_scales, fire_breath, upheaval, eruption, blistering_scales, time_skip, living_flame | (无) | (无) | 需审核
12 | 唤魔师 | 湮灭 | EVOKER_1 | dragonrage, fire_breath, tip_the_scales, eternity_surge, deep_breath, disintegrate, pyre, azure_strike, living_flame | (无) | (无) | 需审核
13 | 猎人 | 兽王 | HUNTER_1 | call_pet_1, bestial_wrath, wailing_arrow, wild_thrash, black_arrow, kill_command, barbed_shot, arcane_shot, steady_shot | berserking[racial], blood_fury[racial], ancestral_call[racial], fireblood[racial], potion[potion] | berserking -> window:bestial_wrath / inject:-; blood_fury -> window:bestial_wrath / inject:-; ancestral_call -> window:bestial_wrath / inject:-; fireblood -> window:bestial_wrath / inject:-; potion -> window:bestial_wrath / inject:- | 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。
14 | 猎人 | 射击 | HUNTER_2 | trueshot, volley, multishot, kill_shot, black_arrow, rapid_fire, aimed_shot, arcane_shot, steady_shot | berserking[racial], blood_fury[racial], ancestral_call[racial], fireblood[racial], lights_judgment[racial], potion[potion] | berserking -> window:trueshot / inject:-; blood_fury -> window:trueshot / inject:-; ancestral_call -> window:trueshot / inject:-; fireblood -> window:trueshot / inject:-; lights_judgment -> window:trueshot / inject:-; potion -> window:trueshot / inject:- | 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。
15 | 猎人 | 生存 | HUNTER_3 | call_pet_1, takedown, kill_command, boomstick, flamefang_pitch, wildfire_bomb, raptor_strike, arcane_shot, steady_shot | blood_fury[racial], item:algethar_puzzle_box[named_item], ancestral_call[racial], fireblood[racial], berserking[racial], muzzle[spell], potion[potion], aspect_of_the_eagle[spell] | blood_fury -> window:takedown / inject:-; item:algethar_puzzle_box -> window:takedown / inject:-; ancestral_call -> window:takedown / inject:-; fireblood -> window:takedown / inject:-; berserking -> window:takedown / inject:-; potion -> window:takedown / inject:- | 检测到通用 use_items 容器；具体饰品须在角色配置阶段确认。; 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。
16 | 法师 | 奥术 | MAGE_1 | arcane_intellect, arcane_barrage | arcane_orb[spell], arcane_missiles[spell], arcane_pulse[spell], arcane_blast[spell], touch_of_the_magi[spell], arcane_surge[spell], cancel_action[spell], evocation[spell] | arcane_pulse -> window:- / inject:arcane_surge; arcane_blast -> window:- / inject:arcane_surge; touch_of_the_magi -> window:- / inject:arcane_surge; evocation -> window:- / inject:arcane_surge,touch_of_the_magi | 需审核
17 | 法师 | 火焰 | MAGE_2 | arcane_intellect, flamestrike, pyroblast, meteor, combustion, fire_blast, frostfire_bolt, fireball | potion[potion], item:vaelgors_final_stare[named_item], item:emberwing_feather[named_item], item:galactic_gladiators_badge_of_ferocity[named_item], item:ever_collapsing_void_fissure[named_item], item:nevermelting_ice_crystal[named_item], item:freightrunners_flask[named_item], ancestral_call[racial], berserking[racial], blood_fury[racial], fireblood[racial] | potion -> window:combustion / inject:-; item:vaelgors_final_stare -> window:combustion / inject:-; item:emberwing_feather -> window:combustion / inject:-; item:galactic_gladiators_badge_of_ferocity -> window:combustion / inject:-; item:ever_collapsing_void_fissure -> window:combustion / inject:-; item:nevermelting_ice_crystal -> window:combustion / inject:-; item:freightrunners_flask -> window:combustion / inject:-; ancestral_call -> window:combustion / inject:-; berserking -> window:combustion / inject:-; blood_fury -> window:combustion / inject:-; fireblood -> window:combustion / inject:- | 检测到通用 use_items 容器；具体饰品须在角色配置阶段确认。; 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。
18 | 法师 | 冰霜 | MAGE_3 | arcane_intellect, comet_storm, blizzard, ice_lance, glacial_spike, frostbolt | item:nevermelting_ice_crystal[named_item], item:freightrunners_flask[named_item], item:vaelgors_final_stare[named_item], potion[potion], blood_fury[racial], berserking[racial], fireblood[racial], ancestral_call[racial], flurry[spell], ray_of_frost[spell], frozen_orb[spell] | (无) | 检测到通用 use_items 容器；具体饰品须在角色配置阶段确认。; 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。
19 | 武僧 | 酒仙 | MONK_1 | touch_of_death, blackout_kick, tiger_palm, keg_smash, chi_burst, breath_of_fire, exploding_keg, rushing_jade_wind, spinning_crane_kick | (无) | (无) | 需审核
20 | 武僧 | 踏风 | MONK_3 | touch_of_death, strike_of_the_windlord, celestial_conduit, zenith, flying_serpent_kick, spinning_crane_kick, rising_sun_kick, rushing_wind_kick, tiger_palm, crackling_jade_lightning, whirling_dragon_punch, fists_of_fury, blackout_kick, chi_burst | (无) | (无) | 需审核
21 | 圣骑士 | 防护 | PALADIN_2 | avenging_wrath, sentinel, divine_toll, shield_of_the_righteous, avengers_shield, hammer_of_wrath, judgment, consecration, crusader_strike, hammer_of_the_righteous, blessed_hammer, templar_slash, templar_strike | (无) | (无) | 需审核
22 | 圣骑士 | 惩戒 | PALADIN_3 | wake_of_ashes, hammer_of_light, templars_verdict, divine_storm, blade_of_justice, divine_toll, judgment, crusader_strike, hammer_of_the_righteous, blessed_hammer, templar_slash, templar_strike | item:algethar_puzzle_box[named_item], trinket1[trinket1], trinket2[trinket2], potion[potion], lights_judgment[racial], fireblood[racial], execution_sentence[spell], avenging_wrath[spell] | item:algethar_puzzle_box -> window:wake_of_ashes / inject:avenging_wrath,execution_sentence; trinket1 -> window:wake_of_ashes / inject:avenging_wrath; trinket2 -> window:wake_of_ashes / inject:avenging_wrath; potion -> window:wake_of_ashes / inject:avenging_wrath; fireblood -> window:wake_of_ashes / inject:avenging_wrath; execution_sentence -> window:wake_of_ashes / inject:avenging_wrath | 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。
23 | 牧师 | 暗影 | PRIEST_3 | power_word_fortitude, shadowform, tentacle_slam, vampiric_touch, shadow_word_pain, void_volley, shadow_word_madness, void_blast, mind_blast, void_torrent, shadow_word_death, mind_flay_insanity, mind_flay | potion[potion], fireblood[racial], berserking[racial], blood_fury[racial], ancestral_call[racial], flash_heal[spell], power_infusion[spell], halo[spell], voidform[spell], item:galactic_gladiators_badge_of_ferocity[named_item], desperate_prayer[spell] | potion -> window:- / inject:power_infusion,voidform; fireblood -> window:- / inject:power_infusion,voidform; berserking -> window:- / inject:power_infusion,voidform; blood_fury -> window:- / inject:power_infusion,voidform; ancestral_call -> window:- / inject:power_infusion,voidform; flash_heal -> window:void_torrent / inject:halo,voidform; power_infusion -> window:- / inject:voidform; voidform -> window:vampiric_touch,shadow_word_pain / inject:-; item:galactic_gladiators_badge_of_ferocity -> window:- / inject:power_infusion,voidform | 检测到外部增益同步条件；该条不属于玩家可主动释放的注入技能。; 检测到通用 use_items 容器；具体饰品须在角色配置阶段确认。
24 | 潜行者 | 奇袭 | ROGUE_1 | envenom, coup_de_grace, slice_and_dice, rupture, ambush, garrote, fan_of_knives, mutilate, poisoned_knife | deathmark[spell], item:astral_gladiators_badge_of_ferocity[named_item], item:algethar_puzzle_box[named_item], potion[potion], blood_fury[racial], berserking[racial], fireblood[racial], ancestral_call[racial], kingsbane[spell], vanish[spell] | deathmark -> window:envenom,rupture,garrote / inject:kingsbane; item:astral_gladiators_badge_of_ferocity -> window:- / inject:deathmark,kingsbane; item:algethar_puzzle_box -> window:envenom / inject:-; potion -> window:rupture / inject:deathmark; blood_fury -> window:- / inject:deathmark; berserking -> window:- / inject:deathmark; fireblood -> window:- / inject:deathmark; ancestral_call -> window:- / inject:deathmark; kingsbane -> window:envenom,rupture,garrote / inject:deathmark; vanish -> window:garrote / inject:deathmark | 检测到通用 use_items 容器；具体饰品须在角色配置阶段确认。
25 | 潜行者 | 狂徒 | ROGUE_2 | ambush, between_the_eyes, killing_spree, dispatch, coup_de_grace, pistol_shot, sinister_strike | adrenaline_rush[spell], blade_flurry[spell], preparation[spell], keep_it_rolling[spell], roll_the_bones[spell], blade_rush[spell], vanish[spell], shadowmeld[spell], potion[potion], blood_fury[racial], berserking[racial], fireblood[racial], ancestral_call[racial] | preparation -> window:between_the_eyes / inject:adrenaline_rush; roll_the_bones -> window:between_the_eyes / inject:-; potion -> window:- / inject:adrenaline_rush | 检测到通用 use_items 容器；具体饰品须在角色配置阶段确认。
26 | 潜行者 | 敏锐 | ROGUE_3 | goremaws_bite, eviscerate, coup_de_grace, shuriken_storm, shadowstrike, backstab, gloomblade, secret_technique, black_powder, shuriken_toss | shadow_blades[spell], shadow_dance[spell], vanish[spell], shadowmeld[spell] | shadow_blades -> window:secret_technique / inject:shadow_dance; shadow_dance -> window:secret_technique / inject:shadow_blades | 需审核
27 | 萨满祭司 | 元素 | SHAMAN_1 | lightning_shield, flametongue_weapon, thunderstrike_ward, ascendance, chain_lightning, tempest, lightning_bolt, flame_shock, stormkeeper, lava_burst, earthquake, ancestral_swiftness, elemental_blast, earth_shock | (无) | (无) | 需审核
